# col0 col1 col2 col3 col4 col5
498.9798198076401 529.9345941062753 484.6280286809595 431.63516575134264 469.4686426902882 452.4477225070289
440.3191081404374 531.5467439177662 470.64286877244376 418.01987410616397 448.99981983727207 500.0280182883662
457.05646756090886 514.7607100820372 513.8652135621095 475.5827503228174 482.2132131908905 482.1299908590247
514.5103230384796 454.90244630898343 472.82984171449414 521.271084309169 553.5594972867779 476.3824938144071
531.5475554224523 459.8629387170656 427.6719698224596 505.33312957178254 522.1155979104439 484.053308203528
576.2778887059321 582.3637530667826 607.2410147079993 628.2672146702436 511.69975154196646 456.0076750910985
565.9430618949924 503.05944371864575 527.2109402546805 570.9822770199737 554.2437349313835 515.185789149423
507.9498419791694 578.5115733217982 489.2570030702671 447.755237143255 491.6069253832106 532.0223540730822
559.9519412223931 553.9060467547146 449.6903418227801 458.4744663738858 524.9411796459631 598.7817235102555
510.14759402731517 549.187657780462 615.244676585366 636.9367393091519 527.4162531404062 502.44559014595853
544.2768673662267 606.3181924399667 593.8985048865263 579.7033615713651 518.1852561178214 589.1836218392165
427.28518536331364 431.61149258316823 444.0537454632291 453.2396131655429 507.73778877089825 442.07658730928273
591.896196424998 563.0417686332685 467.7647351997568 481.7176607005544 495.3481282675955 568.6661017172594
561.7628937221102 646.6636867134013 566.657219848769 474.3281509450282 532.1300143701666 543.16168527147
491.10210430181024 521.3978859748086 561.1445113068164 548.8129413455696 588.8909489716051 495.15937131077817
496.5632230615931 492.9492838291065 603.0243735651534 640.4145888468618 528.245450792038 538.1974303832527
505.1213997837249 517.3384988370763 534.9845451437196 496.37467845922777 459.4530731618366 558.9085684459312
525.7194004383513 552.8927926267393 580.3052729994005 556.2614874491032 514.2319566212606 434.2861848955567
506.1860282155203 426.384164842165 429.59274416525244 519.7189914389718 498.2992559037625 476.9069879641209
492.6580637434327 494.99624147773295 499.1602071933815 546.1441966616352 545.0518368864109 472.724567505196
547.3830346481037 521.0211270166906 516.3186704330708 505.0887629998181 545.8457882245818 528.4901460579676
524.846684942338 476.9443142817754 525.0852188111777 554.5804488977082 529.363541839254 526.7001880412222
486.7344257053391 516.4909955936403 517.6482151477248 552.3178968303898 541.1689163582365 485.1639722081759
