# col0 col1 col2 col3 col4
285.34736671188347 288.86379403022437 284.5058308515372 262.60581655495685 290.44822890781734
162.1427219891213 159.35254903541392 169.11462481525948 166.13447428535193 257.72920462459103
212.6349120896944 229.21698204018446 239.16045616082218 200.44798860262213 207.10464382728335
133.56503779156643 149.2072497153932 130.1705885931154 98.61730987937524 188.42538125724613
208.84594267096483 200.41239786042308 242.22230360864722 231.42807342417078 193.7524331210561
173.81199266841557 135.22047908578375 155.0571324141694 214.73063629879846 166.43612021956858
287.6643072071028 225.48302520685004 250.182403969272 299.7443891208768 183.5564493390918
146.08936674180043 156.5642528288625 147.57905396691748 140.80772388977473 229.7461980971835
181.4795705517785 171.05740633371073 200.40168157806212 225.86229536657262 230.41821043172502
269.44969871844347 341.62303009136247 319.1925541508372 251.6295834537981 206.66034578177315
194.68568068620996 147.6223376756766 146.1615197513517 186.66872596117918 230.9973714844257
330.1501612060872 329.35010722709654 373.0624139009858 367.16529386769844 190.5594481429383
286.0939775353619 291.5168693204989 331.36529539724796 335.8735909242684 124.6171658022087
242.7588351431811 278.1413555690331 317.9987437390003 305.44529433510223 165.32512557398866
252.50784708272738 251.22085113377892 271.4475705368452 284.1364864720226 200.07573047282943
362.45074295995386 306.9626898185177 320.0778908897251 344.6702017997074 418.11446612216184
257.102121653568 332.57297305991835 394.37897964474405 332.88364211612287 202.63607488465357
275.25474247078114 235.96146566076536 271.6462651595352 308.5288003737847 284.42171289627163
227.02367115524845 247.82691893059047 225.7551618854302 224.73193036645498 282.1081827567455
276.2811138132896 261.1302446235138 242.4878691317667 258.24603108737733 217.43234780758715
137.785324741348 119.49848613464795 112.18889654459264 126.7881518736668 224.85720474441948
100.79221787820444 150.4467422510508 143.4918666214277 111.55228754711455 153.6621004536167
180.74377677450832 146.5352845984486 133.95976587037183 163.95756294065384 449.23950712120967
313.4322138033032 305.263959858724 337.19755069311924 362.7004828676379 251.85549699856227
169.27662319243257 250.67473720397112 238.82128522326022 174.07243576588655 161.14635193433284
263.06464046378346 300.2120399515054 321.19882391601857 293.62839886279426 163.69261780277705
158.11957920910183 171.70364653844672 167.1851586311004 179.23182941813891 245.91199645044333
147.16613683903117 144.45350984956207 192.82553217894622 172.799094251928 154.7225859649147
105.18266659604673 101.5712303832551 126.73969821606954 157.646693675999 178.0545351279476
305.21825188260226 278.9943552687987 267.5273084361131 314.0347286585543 344.5075380433239
239.04688692489088 240.345916215175 240.17639916327394 249.9418009684066 283.8513522418417
217.40510027942756 191.26303237698414 223.59726358013003 238.36842346603206 169.55759552991796
327.2069866535837 278.8515731196023 271.59014580925754 319.8683873393029 399.96453180999646
454.7304757370552 409.33535196552185 421.26241682711674 434.30277755542465 382.3050663279276
198.29871771060712 206.90881381292985 193.17181265785825 183.52828581539902 188.7378979652614
333.0659316158494 276.99828846191167 280.5951227308413 322.7594235469086 278.3364259817005
304.98801387725814 313.0902014452985 284.7171607760073 265.53445004702417 210.60126305947327
227.62408763932507 200.87151569780755 201.84327077934287 225.18067966490756 225.58569619451498
165.36294065391147 216.70023475623194 223.0735253192273 193.57956972907442 158.25073004654885
106.44263172447064 126.74147796199036 122.733215756543 98.61405707922205 240.46988364391748
202.71216509778813 215.25889409518098 194.7968772122547 164.81944130379034 369.49367997889857
242.07466816899608 230.1528477026717 196.82712197809528 221.8544198822025 300.73596767892957
187.90295249216726 195.82508450720502 193.88138877663732 182.7333121567089 289.72085898942476
361.98826816214705 263.07968527984985 317.2241606419875 407.48994588887905 277.29780332729683
264.8968867310118 263.81736955447684 273.10271893804963 273.21145901437956 351.7682621756774
228.10802819276833 200.33250539312158 177.7693757322801 196.65101080031158 332.23024908959445
292.733927644241 290.98563522625665 289.5435347398081 294.5162935487993 321.9708533749193
171.30316901667314 205.6195240043094 202.69292110475976 164.1552501484097 156.61714299842328
158.08510290038657 133.44392202392277 154.49578627100937 166.57906423539566 290.1185682843071
330.6493278082095 292.6634433457845 290.88108013724826 327.8962219133077 175.00537305422245
152.5981103409494 139.22235773620912 140.00780951889294 171.5700380679884 237.91914623981307
335.60770163445864 288.22652057898074 303.91113137505255 318.51095407770515 268.79132193894657
147.31041114144483 131.27474372455308 149.558108141932 167.66907142492457 214.17027162288775
175.26215409860438 209.42473628629477 202.73204975202253 191.03465373687402 274.1709695086516
212.3137369608596 224.57510929793432 223.51355882799697 214.5168026872435 180.12518363869765
210.77033826732898 197.30190100314616 189.84738477518087 198.68019025954183 262.04326544322515
