# col0 col1 col2 col3 col4 col5
242.04376912076873 233.0810096253116 295.2547305601019 322.1871777156299 243.16959614310366 231.52044266294993
277.3430871716324 237.3083351810142 249.0108367437216 303.44779216202335 233.7101175779622 317.4876314070539
253.6243421122993 259.2324525818832 263.9783693129655 256.8464845684804 256.3487342289583 296.9364492065895
247.09997232907807 184.97658387453998 262.23071841238533 245.43643579614823 273.4809922272689 272.61630985835086
277.1702281348121 348.60557194790783 337.5145930610622 288.6712901316677 279.1389568473607 314.89711192824467
224.03249407375628 234.24133220659954 289.0513529989223 262.36517003628825 262.2778699280954 347.42567949525903
300.258004594298 310.17072141311866 334.4757350143271 286.17304825271435 301.1609303812905 280.3642170034179
318.13751748504137 353.25376073959154 356.20891810658173 321.94149544944503 266.0017255223772 363.1246788626648
357.58589678934095 293.793265278785 315.0034640071407 369.80800499244464 294.22097655403496 250.45304577359414
279.8880463214545 220.49741993870106 235.61526621163023 298.21161078749805 233.81887356276107 294.9885643450709
267.0704956997726 241.77489575801633 214.19982497980368 259.11244085758443 314.56687661589973 254.5110897800628
292.58441610628716 273.763932735062 272.8106735374683 307.01139606731596 322.2091567264003 218.03830183660313
199.86916825962737 250.01128430957948 317.02133861893657 235.57400662315652 281.15349833302696 259.6076736138841
205.12579592609225 240.7941876997018 250.04639425859173 240.7703790217952 254.7970811503674 275.4976723409297
244.78905930828998 215.8696708180776 257.7640978178405 257.14653754932135 260.7795514114107 326.8746394549073
272.9231202046057 297.3804458820541 320.77939224302753 296.7040042966983 268.76166261712194 303.9799678776394
252.42322907257366 216.98535422309266 202.6886406534819 204.5077054130837 227.18783945879275 275.8593148397519
311.49321287030523 333.0273299366603 392.377015324848 324.04272389858613 304.36740784514797 316.4243394958202
344.64588320778904 325.97158430198925 332.3372059590372 348.5387037714474 254.02340531707804 325.990547239094
273.1360047840197 348.01281830924586 347.5168485055352 275.4448170583557 279.0474572123645 262.4103971735974
359.8188933280919 339.76052051196814 284.75683753699917 320.30920776440945 364.59119731551095 205.6456925166044
218.2481392990109 237.72706898598125 228.89882844673534 267.78616032334014 256.2597941550891 310.05526139925814
296.509302118905 302.74511304265286 354.5226695504906 317.02290541541043 306.88097844983884 415.1452970280181
260.1572780631258 267.0008304075451 313.5813298819061 299.843947936828 261.8110337699909 300.5098996775169
307.1242423296292 324.90456047423777 372.55379158254294 310.0694274059797 289.95696917484514 301.61909867524287
308.9376987302951 308.8403090910202 282.5789021089081 258.365426720113 405.2138716615691 260.3933503504635
212.98506677294475 214.1431019204829 257.40463348108045 243.7536388994136 260.1508728604637 310.25602140409046
309.3753067762995 369.7330452884186 356.0335222441085 327.26993649204036 253.6269358141279 273.4570873077747
289.2531168095509 252.03825869171447 297.7030771150381 315.6352455753886 239.9042635103708 297.80084716403854
223.7331179399034 232.51481623502403 226.75624509332235 231.4541983650362 217.05817650086823 221.11777118346933
279.4005598080016 271.1339905690955 258.85427959284726 268.182738033882 274.12753221211466 291.88532266560026
229.30774533475068 207.94052567936086 266.0996605874723 281.76592387629967 342.56514099142396 298.0245015343248
294.17974432787923 271.40250086412027 306.84308489916924 305.3936839229465 268.2377561781164 389.4588928242376
