# r SF
1.0638297872340428 3202.75855993975
1.769467726914536 5650.4737241786825
2.475105666595029 9247.560836588384
3.180743606275522 13917.016790653353
3.886381545956015 19565.327757474275
4.592019485636508 26087.688758067343
5.297657425317001 33372.732475953846
6.003295364997495 41306.57139977604
6.708933304677987 49776.108742522396
7.41457124435848 58671.6490138887
8.120209184038973 67888.87451418108
8.825847123719466 77330.26837612281
9.531485063399959 86906.06769513203
10.237123003080452 96534.82694937728
10.942760942760946 106143.6653054931
11.64839888244144 115668.26330808476
12.35403682212193 125052.66592161385
13.059674761802427 134248.94055646367
13.765312701482918 143216.7309190572
14.47095064116341 151922.7404592151
15.176588580843905 160340.17291890885
15.882226520524396 168448.1520207168
16.587864460204887 176231.1376370983
17.293502399885384 183678.35179596258
17.999140339565876 190783.22453570535
18.70477827924637 197542.86685188275
19.410416218926862 203957.57570681153
20.116054158607355 210030.37423504982
20.82169209828785 215766.58880957824
21.527330037968344 221173.46347912573
22.232967977648833 226259.81139626
22.93860591732933 231035.70218439115
23.644243857009823 235512.1837012889
24.349881796690312 239701.03631393527
25.055519736370808 243614.55757626885
25.7611576760513 247265.3750734549
26.466795615731794 250666.2851435345
27.172433555412287 253830.11519323723
27.87807149509278 256769.60737380089
28.583709434773272 259497.321465957
29.289347374453765 262025.55492886578
29.994985314134258 264366.2781871795
30.70062325381475 266531.08336615865
31.406261193495247 268531.14481328224
32.11189913317574 270377.18988672644
32.81753707285623 272079.47862756724
33.523175012536726 273647.79104866215
34.22881295221722 275091.42092335375
34.93445089189771 276419.17504962865
35.6400888315782 277639.3770828928
36.34572677125869 278759.8751608364
37.05136471093919 279788.0525784527
37.75700265061968 280730.8409239742
38.462640590300175 281594.73513882223
39.16827852998067 282385.8099899139
39.87391646966116 283109.73762010515
40.57955440934166 283771.8057834129
41.28519234902215 284376.93646079657
41.99083028870264 284929.704686688
42.69646822838313 285434.35728146345
43.402106168063625 285894.83137165144
44.10774410774412 286314.77260719653
44.81338204742462 286697.5528378587
45.51901998710511 287046.2872714774
46.224657926785596 287363.85104927066
46.93029586646609 287652.8950754197
47.63593380614658 287915.8612078691
48.34157174582708 288154.99672248575
49.047209685507575 288372.36797098943
49.75284762518807 288569.8734154458
50.45848556486856 288749.2559022176
51.164123504549046 288912.11410744855
51.86976144422954 289059.9134067033
52.57539938391004 289193.9961063049
53.28103732359053 289315.59094325826
53.986675263271025 289425.82190766546
54.69231320295152 289525.7163836667
55.39795114263201 289616.2129630704
56.103589082312496 289698.16897644085
56.809227021992996 289772.3669469888
57.51486496167349 289839.5200784883
58.22050290135398 289900.2781102861
58.926140841034474 289955.23365762
59.63177878071497 290004.9272862844
60.33741672039546 290049.8504311616
61.04305466007596 290090.4485036847
61.748692599756446 290127.12678819546
62.45433053943694 290160.25634361967
63.15996847911743 290190.1749408692
63.865606418797924 290217.1857931334
64.57124435847841 290241.56199730345
65.27688229815891 290263.5553125604
65.98252023783941 290283.3984534283
66.6881581775199 290301.2991096636
67.3937961172004 290317.4388152492
68.09943405688088 290331.98352085473
68.80507199656137 290345.0921677714
69.51070993624187 290356.9103616086
70.21634787592237 290367.56085219875
70.92198581560285 290377.14925224124
