# col0 col1 col2 col3 col4 col5
505.31683058951603 501.0955206688543 435.6331797879479 441.9950487111668 448.09779532333806 525.2551874696958
471.06838360087283 445.70527690734036 389.5202941353398 423.1072753509234 538.3560431076987 504.2059003734428
536.8545167679815 396.15397995876805 502.3707067886909 527.2648558655184 480.5250793310905 526.694312515124
447.5789617790631 467.75167104720725 436.2671418606653 431.6274119044133 484.6128690334517 435.9654050788379
397.1060242647615 385.7918822470474 412.04835521156707 465.77531084702895 499.6779168723049 447.81635449423914
493.929143227083 425.55426243482157 399.1218464148154 430.98086452569964 582.7535958091178 477.55385247749956
471.2240787911084 467.8650083753065 464.0260046394989 470.85694098800184 512.5173521832508 498.38955343318827
497.84151136030147 516.8574073185031 570.0013338556275 563.2292223624636 469.6982192217583 496.95673294675225
469.4741722799647 449.8453695756255 364.0426139631445 397.1960402177546 462.28577368740923 448.9850633871869
435.9188678943611 480.8207322708918 491.940736716166 527.9380616677952 493.2733508781397 452.81999224310556
445.4449354928908 455.25426781056785 422.6737304846107 452.36381031250687 497.1550343880579 543.4093491046796
460.9816934309499 431.6754985509074 482.600284669155 466.6502112942033 473.48172744795164 511.2213338808795
411.4508861240874 414.08503365838334 455.6097922582773 464.9154214795276 429.53995832014016 397.6549682047306
381.37112587190467 364.37790951425677 378.90439632845386 377.53322095257585 436.90800502349555 452.2367876174442
428.17613996617354 422.30802131849106 427.8329612776482 445.2313437839809 481.70987885910364 553.755966023705
508.93583854471893 470.2206579876864 501.35202040002224 561.0750823352125 452.11491238259174 481.0901462543187
529.4968430851607 529.699574049892 572.4995346761064 541.5660417685641 441.57254817339356 532.7061064994454
465.9861923654616 446.0753436606477 431.8344542021943 410.0274318191805 435.22031436390444 486.4423685335187
710.6155931027231 585.382774815133 553.3869133705147 639.4738486235733 469.74295001922764 477.6064997676562
472.39480125353526 413.26410018209464 481.8696574614962 502.830554778154 460.43925202094374 439.41315481213707
564.0400664264129 516.5753544084312 608.8435390648153 521.3942411957163 404.92624932222435 495.828889273936
409.7431361456296 427.76328789958245 441.99647670463617 377.3303414009905 433.8347702587521 458.12076310574736
496.3978321200045 531.8523725379374 694.0218293583916 618.8764539328332 493.7058180431784 491.11219096535945
531.994025952588 442.2355965313491 444.2563209247542 559.574674628739 506.6909809800314 421.808549911489
472.7274853241849 445.1559416646578 437.03600026703896 452.7400492827143 483.32703059676174 501.8821054107603
488.00810336858467 446.2150831981883 433.5525919990795 429.6471820059189 627.9099946377472 536.9103032432954
618.3148439157288 552.9699747608039 572.1277810840152 608.684178585382 471.4041394617943 520.3318314703465
412.424546836947 453.8876241180092 445.76555590514926 460.047957691517 507.06983373306014 456.3238715377077
501.8434310256362 439.1835357143755 455.79769795270346 477.0016268119098 592.7625370149357 427.329208572034
479.6152701657604 451.70087608095105 456.7949027174021 451.51032312166143 443.36478136987614 479.18717527641064
517.5605730101571 471.4477203508622 447.7888570277608 523.8303754236322 459.6321750192012 411.1476791278428
399.1124221592655 457.7641391293362 439.5608352786252 442.09955997344366 547.762816614532 454.8354491787594
411.02113067012283 419.5626992442433 411.8121993845906 404.7381605260771 485.3672009667225 565.1891330285551
464.8990133075132 422.8349652273633 431.6750799159346 437.80496853289276 517.6499101560312 610.2719553450675
437.6555618667541 440.25808381531607 503.59030549080387 477.51017522544333 440.148953426133 436.6613491917718
486.6592919889608 445.89012322403016 466.65322943029054 457.2348588051294 465.6447158887529 504.0138571154848
