# col0 col1 col2 col3 col4
365.5006541892205 388.38319240112475 435.48488035648944 409.0191768087771 423.0299651423289
329.0797615640322 331.87160439398855 385.2234091186745 310.63105029673795 378.7257306297796
287.95501695250294 257.6239736208538 236.42772828107343 303.1038663537203 385.06675130107436
394.7370712926521 308.43622695306533 426.74195559646705 421.06801497980723 388.35218842253977
272.66077311817696 251.61032863463012 254.2716080906267 266.0693256145967 399.6110367904401
226.20319018985188 391.3891001714276 346.92764231800106 229.1217496925625 349.2258733189347
281.81223189989055 261.29622641814774 330.94495687129694 309.3658082803774 292.7472977498525
321.6058090315105 277.08778053396935 316.8744980151543 307.56750338220985 302.62285527168046
354.5102067697921 225.7364998262134 275.6829851392772 336.56790154908845 354.6507437905951
340.3347286992347 319.0848172139438 451.20361965900787 324.0238463575761 383.21797745222614
316.70082808944045 302.3358965401517 271.4871809249469 373.3895040994687 347.8859910474367
389.2909660708864 343.30174684928926 292.35078726695434 282.198808945235 292.01114920718067
426.96804736770804 429.36110425815775 446.3307652087736 451.2796651120643 382.2133644541831
310.43781823155916 331.3110288046426 373.3305579957886 283.71162347413514 314.8325053044324
283.8592731825572 308.25133278993206 321.0652124478157 261.7107671318769 313.20205957087774
282.18230024167565 308.90693792431387 278.2648698187048 370.63708750427867 339.4424540980272
267.49772086263124 214.076865586436 294.5507831150821 296.0005629480818 376.6197558531022
386.20305474226564 333.1344482190029 342.0667768322739 371.7333225710615 452.81900283594877
376.0210752965288 324.09823797023597 422.65169454687475 411.0856886380757 351.1986532064062
350.4126570235421 314.9199363335721 296.8097291803594 389.9017277111295 331.0439128034949
444.94888004623937 417.16526989477086 417.2591870626249 391.9802727534027 350.614860674078
290.30200156772395 297.4062634807028 390.5751209858815 277.0100961999549 340.9141432639136
341.1104962388967 245.5047096463605 196.88154399397726 312.2713618245286 295.94942144671097
280.44377574587577 347.6886382251384 279.4876239272331 268.3903071676125 334.3999720342481
248.26061407910103 369.5371971163639 445.74772284800406 348.88903540414486 333.95392196187333
389.9758157325807 337.5274929975602 241.00280623644846 307.32269078245264 359.1434316602302
347.8064096007323 329.38581352315236 348.02221837284026 350.031760824559 300.1939491798006
271.5002921017731 296.89965383842167 373.9013101324064 260.9950685291458 313.4756346088296
282.84800253614185 313.5784178866691 324.8179389369764 347.5427833760487 456.72367982995047
249.20587500609614 211.14581373945884 243.40031017935564 292.17552617838606 342.7253231364074
358.59193383097727 328.5123853484889 372.78416886234027 346.2015798112495 326.55237022009925
386.3305808588559 329.36578666805485 413.78135852390153 421.97609872386056 312.5603007548325
275.51892670904994 266.08218324818523 280.5854444914124 275.26147134119924 355.4391511462656
289.9835937935017 324.6105310972997 341.8104416446585 332.6272189246828 300.06682497561496
498.2689533009852 426.3073005405684 379.1755209217835 398.9236910937528 413.02627927143067
247.3734506249218 266.0913379790361 249.62010823118194 246.04979982537304 373.9520958501478
299.7849095435005 341.2756722152819 372.91126224310096 291.4124370967822 345.02220533660665
383.58836638777785 355.9764972605109 358.1236724656846 382.4096284270949 334.9187415985372
431.34420905582704 419.23127141291275 426.51576564293106 425.0345894688762 320.31844837777624
255.13641628345846 327.9897134033057 275.46927995920146 243.94563527492957 367.3031053153526
394.79682519631007 434.8863683702076 483.0127245755613 507.5096894558935 326.22385695799005
449.051457297956 480.16576226104826 338.4178362999028 303.44314300868876 330.7721989011133
