# mach l_inj l_dis alpha cost cost_sigma sigma sigma_err1 sigma_err2
0.41786505118461437 1.0 0.001 -3.6666666666666665 10.389880642410525 6.514299790484493 307.3693030928263 109.81060541322904 116.86447331934735
0.05487500000000001 1.0 0.001 -3.6666666666666665 2315.593444960365 147.3459667689714 40.36444411755074 31.477163143571435 42.63107787318191
0.064625 1.0 0.001 -3.6666666666666665 1831.5574724449266 118.84131115822395 47.536258789917376 33.650444909711766 43.95561277746609
0.074375 1.0 0.001 -3.6666666666666665 1440.0206107209194 95.21644283916264 54.70807346228403 36.01374287637033 45.44774602837432
0.084125 1.0 0.001 -3.6666666666666665 1130.8218186060442 75.95348269586866 61.87988813465068 38.532109981135434 47.0915488583729
0.093875 1.0 0.001 -3.6666666666666665 889.8360436169953 60.402493083960806 69.05170280701732 41.17710423913454 48.87171942038938
0.103625 1.0 0.001 -3.6666666666666665 703.1059744298745 47.91970033235067 76.22351747938396 43.92585705176418 50.77391628320432
0.113375 1.0 0.001 -3.6666666666666665 558.5552406445674 37.93021409872455 83.39533215175061 46.76007391175429 52.78494880897633
0.12312500000000001 1.0 0.001 -3.6666666666666665 446.40865252581074 29.947901316403605 90.56714682411726 49.665125561329866 54.89285652252483
0.132875 1.0 0.001 -3.6666666666666665 359.0350819798539 23.574078162748712 97.7389614964839 52.62928340859137 57.086909217810835
0.142625 1.0 0.001 -3.6666666666666665 290.5932272903974 18.487392312008502 104.91077616885052 55.643102335062466 59.357555048085395
0.152375 1.0 0.001 -3.6666666666666665 236.65569040773173 14.431237440453847 112.0825908412172 58.698933492252415 61.69633788916678
0.162125 1.0 0.001 -3.6666666666666665 193.87927578801032 11.201609704268526 119.25440551358382 61.790544091104614 64.09579944883922
0.171875 1.0 0.001 -3.6666666666666665 159.73904085610278 8.636527373581531 126.42622018595046 64.91282211790555 66.54937667207132
0.181625 1.0 0.001 -3.6666666666666665 132.32283702901265 6.607274436553015 133.59803485831716 68.06154716017106 69.05130117746143
0.191375 1.0 0.001 -3.6666666666666665 110.17625593946222 5.011355728048837 140.76984953068376 71.23321218821147 71.59650468817291
0.201125 1.0 0.001 -3.6666666666666665 92.18813741660064 3.767999404548657 147.9416642030504 57.21633454413821 74.18053250840468
0.210875 1.0 0.001 -3.6666666666666665 77.51146210440108 2.820321584906173 155.11347887541706 59.47048119015125 76.79946583994733
0.220625 1.0 0.001 -3.6666666666666665 65.48371184131935 2.115642055592788 162.2852935477837 61.74314961688925 79.44985294999496
0.230375 1.0 0.001 -3.6666666666666665 55.58678785041359 1.6096846456024585 169.45710822015033 64.03236770214775 72.17894279531758
0.240125 1.0 0.001 -3.6666666666666665 47.417029987603 1.2694016949607476 176.62892289251698 66.33642212070669 74.35485231892987
0.24987499999999999 1.0 0.001 -3.6666666666666665 40.65367837465373 1.0658420989618287 183.80073756488363 68.65381914587243 76.55522798144459
0.259625 1.0 0.001 -3.6666666666666665 35.04093604470734 0.9744641263001844 190.97255223725026 70.98325199760703 78.77801969339532
0.26937500000000003 1.0 0.001 -3.6666666666666665 30.374214890820802 0.9751047779317271 198.14436690961696 73.32357357836192 81.02138254767041
0.27912499999999996 1.0 0.001 -3.6666666666666665 26.491555036151016 1.0537799398876804 205.31618158198356 75.67377364550526 83.28365422254151
0.288875 1.0 0.001 -3.6666666666666665 23.26815615077508 1.2051160772599165 212.4879962543502 78.03295964209565 85.56333489868605
0.29862500000000003 1.0 0.001 -3.6666666666666665 20.599788432318178 1.4218110710321235 219.6598109267169 80.40034055004206 87.85906945165365
0.30837499999999995 1.0 0.001 -3.6666666666666665 18.39685268494679 1.6933557058916007 226.83162559908345 82.77521324602304 90.169631686268
0.318125 1.0 0.001 -3.6666666666666665 16.584308554261582 2.00957545796496 234.00344027145013 85.15695093526125 92.4939103917923
0.327875 1.0 0.001 -3.6666666666666665 15.100174866678811 2.3619488825579023 241.17525494381687 87.5449933152116 94.83089701301745
0.33762499999999995 1.0 0.001 -3.6666666666666665 13.893041591336742 2.743330113036672 248.3470696161834 89.93883818370365 97.17967475055198
0.347375 1.0 0.001 -3.6666666666666665 12.921677194435867 3.1493000753369937 255.51888428855008 92.33803425681354 99.53940892206246
0.357125 1.0 0.001 -3.6666666666666665 12.153510629367661 3.578031767593249 262.69069896091673 94.74217500297614 101.90933843414452
0.36687499999999995 1.0 0.001 -3.6666666666666665 11.557973694343502 4.0247357339145555 269.86251363328336 97.15089333341558 104.28876823137466
0.376625 1.0 0.001 -3.6666666666666665 11.109198262433257 4.485241500215805 277.03432830565004 99.56385701634339 106.67706260462323
0.386375 1.0 0.001 -3.6666666666666665 10.785333042573521 4.956026574780633 284.2061429780167 101.98076470474763 109.07363925479413
0.39612499999999995 1.0 0.001 -3.6666666666666665 10.567866885172993 5.4341161972468175 291.3779576503832 104.40134248592477 111.47796402078825
0.405875 1.0 0.001 -3.6666666666666665 10.441076163184764 5.916999385894398 298.5497723227499 106.82534087596297 113.88954619172166
0.415625 1.0 0.001 -3.6666666666666665 10.391571604692004 6.402558478325285 305.72158699511664 109.25253219478282 116.30793433336092
0.42537499999999995 1.0 0.001 -3.6666666666666665 10.407925202819218 6.889009869359171 312.89340166748315 111.6827082675848 118.73271256747826
0.435125 1.0 0.001 -3.6666666666666665 10.480361885472348 7.374854062300575 320.06521633984994 114.11567840703101 121.16349725049368
0.444875 1.0 0.001 -3.6666666666666665 10.600503777913634 7.858833484527995 327.2370310122166 116.55126763753121 123.59993400447388
