# col0 col1 col2 col3 col4 col5
372.81754209219685 373.59601201060696 360.6615381041948 389.22297558066913 336.5298819763027 344.62864418072945
358.20147773437526 376.75700105819277 402.98926995054507 372.3219518118209 357.5020073533392 406.4431485646485
334.1516387034644 333.33368224482837 336.454431352479 344.8411042022644 359.98266654021967 352.6998080747928
417.37147316912655 351.74597000839026 354.81428683788477 409.85278316498017 352.0304022793247 298.67549359527936
402.07261356720204 335.21531305300607 332.5110788153352 334.6439220318207 349.3553523878282 360.47224611896695
321.8630099149367 369.17874289327096 377.36018612146165 449.4449919923559 358.6060334911469 374.8819243687703
320.8683860964867 318.28024740327635 363.4185763712522 330.2052186812085 410.2985646879336 363.31050384773744
271.39386340198604 336.5427305396667 313.58579361861035 360.2783147390113 437.9537057465103 328.75964418799674
347.6321428218095 403.4381726864605 388.4391726360993 358.62604405690576 369.1384771966374 314.92731377939185
396.51095352730744 365.55856849435816 364.8852592144239 385.95884084780704 395.8285527739478 397.8191630763071
283.27305159948446 335.6876927095354 323.269545389384 319.6071617670456 368.4081343925707 329.2254951647063
443.8067269630843 318.6620184767077 369.17805610754186 377.3243094433089 361.2001652487642 423.6689868207881
401.8541811769099 346.6911651542724 361.6208840865347 398.51154690281976 349.4182882999391 404.6565980940659
371.29027881487224 415.84173362369665 393.1219045537367 335.6507080917181 394.87400609814443 328.6653837332598
326.14689790719797 343.7258686042478 318.6108103810621 292.5798034134506 398.1934632641117 371.6136086226834
378.5829515220139 386.396501643961 331.710182867897 444.2984086796009 391.8961557761342 355.55829535981417
346.36271657979563 346.8816308916653 402.7128382001487 348.08037168110235 387.17196289217225 337.2053854690851
354.25680586633507 385.0104867693718 370.60023793128164 360.9374669093248 324.0911586445558 353.86258071940114
401.7430012144502 393.7798283783588 387.65490572279487 429.73462357708706 346.664888875665 383.67604317778444
352.08894141058164 379.2929876613223 330.0445713918292 321.71714788160295 347.5324937519125 390.9842750632512
352.626958049019 355.4427058468516 373.3670236386182 373.8620560228042 334.55187146284777 380.4332819159093
383.56292055593514 334.1089236128764 411.1995598365766 386.6080407119621 381.91242585746517 397.4910275055083
374.18006257201375 407.49931239432766 341.53755938313753 286.3230329182019 367.9266445007668 398.7075751891132
348.40026944763434 359.72948880966385 362.2128060509734 368.625820714803 341.84108510431906 335.9796209164231
327.34040949488457 303.7644498276901 348.85329279531214 380.98084087776783 372.14928748052057 343.75903053782054
