# sigma_avg sigma_min sigma_max sigma_std
516.5936223723237 133.84156227632178 166.31115646447253 70.48113751658478
519.3768197442681 132.50869754477415 168.2880563654198 69.9310441946046
517.0276272776854 133.27040333660702 167.30796134785834 70.938722616917
520.375243352077 133.01506867112323 167.64999229235696 67.94502530066214
535.9632188143123 144.89152538136537 154.64247311597487 53.0472971353369
