# r SF
1.0638297872340428 3206.418559531159
1.769467726914536 5660.520165996744
2.475105666595029 9266.992597974371
3.180743606275522 13948.631836727125
3.886381545956015 19611.680062276013
4.592019485636508 26151.05884431694
5.297657425317001 33455.11029296503
6.003295364997495 41409.649747904085
6.708933304677987 49901.285336278095
7.41457124435848 58820.03535641248
8.120209184038973 68061.30992867515
8.825847123719466 77527.33775020465
9.531485063399959 87128.12171204254
10.237123003080452 96782.00378923299
10.942760942760946 106415.91299179487
11.64839888244144 115965.36204558899
12.35403682212193 125374.24992031121
13.059674761802427 134594.51896329882
13.765312701482918 143585.7075855787
14.47095064116341 152314.43236146544
15.176588580843905 160753.82711762484
15.882226520524396 168882.9611074136
16.587864460204887 176686.25365685485
17.293502399885384 184152.89867257292
17.999140339565876 191276.30905098483
18.70477827924637 198053.5882498174
19.410416218926862 204485.0340062047
20.116054158607355 210573.6773424997
20.82169209828785 216324.8585289586
21.527330037968344 221745.8405150796
22.232967977648833 226845.45944821762
22.93860591732933 231633.811224884
23.644243857009823 236121.97252830424
24.349881796690312 240321.75446213846
25.055519736370808 244245.48666641896
25.7611576760513 247905.8296735035
26.466795615731794 251315.6132089265
27.172433555412287 254487.69814797357
27.87807149509278 257434.8598879946
28.583709434773272 260169.6909800022
29.289347374453765 262704.52096900274
29.994985314134258 265051.3515122147
30.70062325381475 267221.8049804268
31.406261193495247 269227.0848766036
32.11189913317574 271077.9465481478
32.81753707285623 272784.6768060635
33.523175012536726 274357.0811806736
34.22881295221722 275804.47769411723
34.93445089189771 277135.696122588
35.6400888315782 278359.08183911076
36.34572677125869 279482.50345829985
37.05136471093919 280513.36353923107
37.75700265061968 281458.6117556512
38.462640590300175 282324.7599952213
39.16827852998067 283117.8988748025
39.87391646966116 283843.7153366904
40.57955440934166 284507.5109314155
41.28519234902215 285114.22048209567
41.99083028870264 285668.43096008856
42.69646822838313 286174.4002663376
43.402106168063625 286636.0757999032
44.10774410774412 287057.11272275634
44.81338204742462 287440.8916823001
45.51901998710511 287790.53601440106
46.224657926785596 288108.9283619354
46.93029586646609 288398.7265456764
47.63593380614658 288662.37879472825
48.34157174582708 288902.13824842527
49.047209685507575 289120.07664989715
49.75284762518807 289318.09741457074
50.45848556486856 289497.9479361469
51.164123504549046 289661.2310619462
51.86976144422954 289809.4159909096
52.57539938391004 289943.8485316314
53.28103732359053 290065.76062706835
53.986675263271025 290176.27919997514
54.69231320295152 290276.43431508535
55.39795114263201 290367.1670131293
56.103589082312496 290449.33686157013
56.809227021992996 290523.72842533473
57.51486496167349 290591.05676904897
58.22050290135398 290651.973327323
58.926140841034474 290707.07226161356
59.63177878071497 290756.89554812905
60.33741672039546 290801.9359039766
61.04305466007596 290842.63990273175
61.748692599756446 290879.4138861818
62.45433053943694 290912.6298813989
63.15996847911743 290942.626540588
63.865606418797924 290969.70786806504
64.57124435847841 290994.1476732707
65.27688229815891 291016.1983722624
65.98252023783941 291036.0932867494
66.6881581775199 291054.04064838105
67.3937961172004 291070.2224647885
68.09943405688088 291084.80511963076
68.80507199656137 291097.94796889974
69.51070993624187 291109.79699811066
70.21634787592237 291120.4752773683
70.92198581560285 291130.08869493066
