# col0 col1 col2 col3 col4 col5
203.67841826372492 255.10350242981855 237.019052362736 267.91663783995824 251.51807473393495 206.44958154849533
297.7972960579584 238.14728881999326 317.84249794434294 300.93977560492687 402.81698211163814 338.3724860046883
195.90029940975904 189.80024929780134 218.542091800086 297.84870207646304 209.5588761998363 161.7532127271761
307.91248112790754 293.68956491673066 245.92270435661877 310.00504490016715 176.90289697097418 283.31436502465846
394.1718521986816 298.69611989160956 345.84394927764197 316.9062956653999 242.9465149780411 286.0373971090838
252.88531724756 283.1597221129107 280.53725842925843 256.747428476805 210.49024013648162 304.3806126203456
157.4289234949577 210.57588434269402 183.95980027548967 182.34519074453908 254.04411383598585 253.61444696701443
155.75231804247798 224.644926709778 209.01444352115422 175.8518521318521 246.39710367130047 151.5343970194204
298.7214581921397 287.5676219519344 286.66202845904684 254.0161830210355 237.0734014706426 249.8911033390009
142.79116586205637 179.14477285617886 183.45352448730955 185.56135715574726 276.0232378276535 254.78159607183332
147.8131555029416 188.72083849729952 231.5870947307073 196.78632959572403 232.0003266461808 133.52013928862547
481.89809307547057 512.9150663814971 427.51938358509153 368.60662674195044 374.40880833218296 174.22779923071622
214.55864277802925 223.87452551632362 193.509189124747 182.77299103119532 300.75618384605554 326.1217450228055
213.86248309695327 186.14794701720515 219.6655524672096 182.25781126461413 197.95921547470695 213.27257545452224
227.97630760445702 277.7657074973158 271.8576667078497 284.8098905771024 180.15859163114203 280.83336909634374
396.6445731335454 368.24064183878784 469.0469890824676 411.3426653135552 262.4446530671482 457.2425333413654
161.69111609719175 187.21556853119378 146.85796324955876 184.92431593776956 210.36171758401184 159.1675241020742
379.06636396414257 407.81681348111306 433.6139785660672 404.2590894145661 384.73509462997356 367.0177811082907
254.029868353441 178.74131360428999 208.42692802196683 203.84296588830796 146.82624043404184 196.96702192189008
614.3488542710209 642.6035821544891 557.1911666740568 567.23027877685 419.77554312435336 412.653260394209
119.04489745348187 180.2881722048326 164.23066981712796 197.0131819668733 212.81252630417328 232.31087067046326
366.20197966904584 349.3930024501365 315.16828985469635 345.0891867911106 254.83801888935514 196.5166726527051
207.96103871591998 285.4018395815576 257.7259103934626 255.08031104299482 200.49727155604424 274.7242871720344
327.9503819816168 285.5102844995279 339.8668817073886 382.8914842769748 315.7173255239958 258.77394632538227
341.0524740627197 333.40735588229506 355.6361620744986 415.96179755470683 265.3044795769234 296.7555279649339
204.22463312080583 285.81594833632556 246.94858838680844 183.13348781019093 261.89628855691217 244.22812927555267
223.9692572283725 197.2590179670374 216.2957975992915 182.49352531993844 258.9484642431138 203.45743315931088
307.4912703104044 288.51426048016987 373.41270383542604 332.80191513451337 240.6137542439828 307.13026632840865
166.57096236819717 201.17839023110972 134.60125345178156 203.91581995903388 204.517120757162 213.09154678204305
279.13811578545983 285.24747317153725 272.34344037139846 252.7205405805532 248.62458117490087 224.07587216533565
262.79621187842173 277.057689548219 309.3921298000135 253.19668590104126 262.1933011899239 100.3960606057783
111.69297680478391 137.99962059571772 114.91443910552996 145.92860965128938 347.6594398043589 168.26645554325268
213.059161792199 152.05415928142668 163.72276420815103 147.3030063384915 167.4416676522014 145.19443422733076
207.1815522361678 178.22893096405983 165.33334705652234 256.86792149549376 243.38806222656058 331.04486726501773
384.7156854745872 266.77936156060764 265.2813527012056 355.6260171510039 173.39976331298425 229.44106089390468
318.2259183491555 339.67027712505336 307.0091050498858 340.52337051623283 223.05765089012814 218.3387758782208
277.18217108960266 220.15891005091953 213.70829819344027 236.88065890426614 179.07955704042334 167.54140398308633
234.0673477663317 251.39178038602864 169.23124430070436 229.83559210335824 202.19364814647872 177.98827968805142
144.99328264867341 208.96172816763436 253.72678568026132 210.9337439463808 339.4944355962729 331.1993635597504
