# col0 col1 col2 col3 col4
317.5666746817371 329.1521558924599 411.9876493760026 333.6368210341626 375.74324365823077
295.33384476810966 282.39369997192347 291.6938483811587 309.6557509251797 299.95711655587075
327.56212298017783 304.73531044499356 293.9679132209775 293.22381967905596 349.2309614233809
356.17465473655193 326.2830179870311 259.41205139275445 251.56782206412868 368.8622659018981
279.9812013396562 306.4230684767651 319.6853104337646 250.4508230841173 359.7402772563744
334.2332271610477 252.1596960890252 386.5075445235947 326.2176424135836 392.236280739574
323.8267157710278 403.24336664111615 424.01735674480625 420.3191161429308 325.6912510743946
408.83870526803275 459.2489708189827 437.0138489443185 397.60599690058115 388.3867151907057
405.15874432267884 283.9838640907886 336.5999696707605 397.29994291296777 329.1334043854279
299.20492505683563 321.40228879841203 335.30825837108034 311.6496820393074 366.2760015377127
384.9737646354613 319.8531347017252 254.82598500904632 308.9690349756986 313.4694625278349
515.4777771890624 327.6709346807566 354.12529527410004 429.6874056667713 361.90541978383015
336.7060086217397 273.3658796254358 321.9606163213011 257.5236752962676 397.3477857556047
354.95644642206383 345.0774456867668 345.3537695488935 290.0432047968035 337.02197117537975
255.29460767612363 242.72547366019387 321.236754772055 275.4403690480506 433.819958375459
285.46274100630245 370.09666359868294 318.9207012889308 339.57413915036364 350.2018194507499
260.43896926417864 295.14549162926875 376.20963176908026 310.0055452222836 364.00241362362715
325.4805574435218 300.64198999623295 428.44493020725304 355.14112792230435 308.2970771078638
336.3247056108007 325.0040669176375 319.6499661350731 363.5438510846289 294.5215676189867
347.4582310506029 359.7882049690005 333.6947668919803 407.28924212358464 353.8712452571813
287.8766062402128 296.22904134051026 310.9621253400115 365.1813389986235 390.5903484718534
332.7710375929092 418.5273387022215 359.8049231782755 280.95868018340894 405.3000606451617
322.146679365098 345.9193688464522 220.85746904665385 321.5096573672925 339.767236038016
326.5818587187968 409.0989283620886 362.46429659633066 378.4133120949318 343.86799238959003
320.5144186381667 393.5069879872371 403.79260467634845 432.07736567361565 388.04738125739357
413.0094223477773 397.1381710952478 399.29564679494126 389.4022333742089 359.58091682209437
429.2819089648685 449.095061516629 391.3636629663564 342.1736844954661 289.22579711983906
411.33551112177383 367.8671308918442 353.90671246823877 325.10074589788434 309.9403827890747
376.3087042022456 307.6040634062883 395.41931176133994 442.8767868266684 264.895813000811
354.16900838423885 360.39274107485346 302.5856850920237 315.2370634144918 350.6278794667925
326.0234969572191 368.6046341545447 331.5578668163379 325.96100320628034 325.64520144461824
419.95020930789354 375.2162369508147 340.0160556352023 373.12129979995905 390.97646696788337
361.5001635053883 349.3199931307528 416.75777066524176 405.92645382797554 355.3869711641547
302.5310393832691 319.07781785281236 456.09161894023595 345.8108164931344 386.2456911605693
288.2883414700687 247.1925676087001 276.41691188452535 285.611062723855 334.74715177716024
250.0215834066263 248.42194065450096 314.337885375058 387.6247066447786 299.0817622917097
455.26560019356083 391.49848471849475 365.17967592675524 395.9890987883987 337.71949118568244
396.2671225330057 374.08889107023333 505.29304844020004 420.64208052102015 362.3620772499729
355.6881747213542 288.6488363664843 297.01336387785994 356.68584223645706 359.1317514194295
378.0350036929516 408.6476258281582 368.745745737435 381.64744626598514 302.1972698273295
352.0854349321082 348.5561354115485 423.4021174384691 333.45706988110624 330.01423870390397
340.34339201366345 292.6726632851051 340.85279981060233 349.91804008918376 395.38703474205585
253.2034514897797 261.8637032987511 350.6221128833847 314.83146866964273 414.5536213948647
390.28095816772264 380.4372142485872 387.12230816409055 358.233087041602 359.0826352142705
436.32947212574294 372.5650574916639 352.5638298032363 394.0307273805569 308.5849192951013
389.2986273928571 312.9959687724252 328.66335350990704 340.64964608429824 372.6530293248894
321.43942214662206 341.22275454168846 298.7629765790129 370.18803938884133 331.9176187882898
341.0871258615564 343.5520120588975 316.4932889631867 351.9151028404251 348.88461067809425
410.2255253157379 443.6484214334263 386.97846698912116 433.56591520478514 349.8390951052317
424.58146364462925 474.06242680492426 384.30489134540704 308.09105983829215 348.2344382792114
294.71528988446465 315.64218606882275 284.67450027821565 286.8755942484368 320.56063905690786
454.6631880681421 375.6846806604328 338.52461110490185 408.1241089728926 379.11228280597845
269.6208529954158 231.27267451578254 253.71256585963891 322.1882552396742 362.7833564070254
378.76892145249656 417.0439808572076 361.3171700879076 428.07963499140385 374.87205647826187
360.32642130187133 356.86564782714237 286.00215576615926 348.8477668606607 343.43132254211025
301.17348220804996 377.323880436692 313.0263967586643 286.2232127960343 370.3535450937703
391.5884998464341 320.005433219568 353.96892103451813 356.938211095527 378.2578176121637
408.90455337701036 375.06598047365054 324.85267461197134 370.52738376783793 391.72362561352503
281.3160672201563 276.97212006758446 245.76712629331305 298.3989936375392 384.2662283522292
384.4465443661073 445.11591493486526 475.7541788116566 374.23558770005735 378.6105697512653
375.4431207983145 404.64161918497496 356.62975014386984 385.93689202274413 385.986666766984
267.51520202151085 325.59916353084174 370.56829523303725 366.98011393246713 378.49920977253873
327.19523440314885 371.5559845195625 311.64300238735905 310.3516345120422 374.847446001527
315.6321619124019 296.58738271645854 298.80710642232526 368.5595893536561 344.20790162960816
399.3430892497746 448.73578914257837 394.2232285263304 417.5820031649284 560.6860455015931
291.36241076892384 312.19498997009566 365.91381332148524 325.70409328439695 356.525116705686
326.3519769634956 248.38656833029617 296.7078381557762 328.3216328974719 360.7103343280351
385.14062037860054 331.3733462208027 399.87224139227254 355.45079578677115 358.92360031876495
339.4854790439735 396.96473985455077 365.90944017720716 402.5839709696496 374.07001319382385
403.2497223160561 323.9440640447158 279.76367099756635 355.7804875027084 337.41612058369833
357.6034290494 353.68679388495156 356.527601712142 363.34823584757527 347.2114133785388
448.46803089680765 389.732619705709 357.8099616594013 421.34035120623884 437.9663537867051
263.87374315498926 261.4296741543597 233.30201666576784 303.3444412635532 357.6489973315447
356.21041043711233 355.5936845195622 356.8562282281586 351.0918875316641 393.7266992397686
314.6908310953638 380.6493158874561 301.5857034559172 355.68321180837927 384.14084818771704
348.6523424421141 308.4601398668081 384.1198335134855 366.5830913370811 381.35791058303295
337.20404907075454 333.26890721681156 348.4029953460555 350.09379848093505 327.61858088216735
457.5919572638988 408.9608334367881 343.8757725669686 403.31160915322226 391.90502729657015
310.3885796239789 267.42697940485544 291.3582164082792 298.05369918392006 451.01884398297335
314.3464622309045 304.2946281034357 437.18695676671314 308.45559837739296 422.0077303498228
425.53302946967887 368.3944420849666 304.4914264098725 342.9987983479568 471.7747860300958
380.47601499024785 347.92623534866266 426.5828756618993 383.9490360057 378.8788908321119
312.95891306676805 326.2586090599049 319.777856788636 343.760590734729 304.9102899143953
376.34335847376383 371.3126791160576 435.5289729774441 356.6537067352729 377.8561518188198
403.30331662992165 282.5685405779033 308.37342252882263 342.4533472638244 352.35569366128607
318.1368149527949 275.7306710772402 327.564850527061 334.854144976833 327.1174832931528
345.88904365483194 346.9293626518081 356.56204646653606 347.17479176491696 353.0326113548774
362.87787238921936 422.7978260790756 448.92859977681553 377.0063938113183 336.4378048932256
356.8460343660202 335.75995833708805 326.8080268395651 286.911614591551 330.18798057327035
425.4718787084919 325.0581549043771 369.16896355837724 417.89809605609986 403.43390257517393
403.1793940960306 401.24510376582845 387.10425148964555 290.45566039615807 368.8194524826569
349.2923615471862 311.20579934151124 335.23470350285237 299.83787555205726 421.3282656026668
329.38349552000375 354.16611327488295 319.51830625912294 247.68527363960504 315.99126793446493
426.3427328991852 398.21262939831627 340.62518777201956 413.09976472018906 309.0018622426838
315.7289708456828 272.8278638017738 297.904535631096 369.2760988316745 355.7198239526509
359.5006931297485 342.4826824724316 352.4732674697846 305.5575033157087 304.47110357224375
443.3431607392357 502.22446235227153 483.66771627733266 520.1891785438272 374.51843599119354
305.8514700126163 221.40297187770133 249.59754429728287 260.544435417387 341.83020786814336
297.8787389554856 383.2125130298268 448.5539366448138 365.38625737241813 315.2651856552633
