# col0 col1 col2 col3 col4 col5
364.12807391140336 413.60503245931017 434.38546273055374 389.6981351378256 436.1728133496137 362.5626487833446
331.1114672051931 345.31710715224193 375.7989925626529 354.1872680264495 352.22801966065435 366.57650163278447
306.1068306818842 260.04106739362413 260.39046534891855 308.67367406069786 380.0007635267033 273.2023148728737
446.90416983292056 306.166235577577 381.08140567585247 448.3311967415117 360.46090925287695 320.8064911876339
282.23588742475283 262.5760378535408 232.3808676750988 260.5192075191282 392.5442725107508 354.9182267784135
265.9583616910196 380.32907973967843 347.81554572653835 268.73281686632674 367.42159746559 340.57722983295344
296.636274985347 278.55849261103674 346.71025237544194 307.8795985612302 293.88978257903904 330.8898625582608
297.04286095417257 286.8731259617037 301.40449491664214 310.02317705587365 326.2252159642261 309.19237363871383
331.93800432357233 249.19063915225 261.3639125849818 334.17917873192806 373.1533785856835 337.1739537781084
315.27030250957785 301.11711826283994 407.1299088623576 345.4742770596551 371.1205782305063 365.7598315075499
278.33670168468575 288.69534674105364 263.46596839771024 316.90938954070015 360.776630960813 338.44981504546996
368.59698958474837 332.85299291517293 249.5939179161746 315.0070009516888 306.6158737389125 326.5014797157338
412.0630597331042 434.82210058187604 487.12000443344454 418.2906825441996 375.4765406001598 388.36415298281776
317.51732138383767 336.0354694247089 353.111803914015 289.16865866499853 311.5762920415502 299.762373548851
312.74863781717505 296.74309449888165 299.96369786233436 286.8897264474644 330.0208934997492 338.0408240843876
288.33844266022555 287.33989726048696 303.20525840092995 340.26769996083937 335.00719790577404 298.271462130278
279.8330898116806 228.68894036638792 281.2854774559217 286.6393247929169 411.97606907849587 340.53390844631974
367.0413844981564 345.87231851848856 321.0825023183818 363.89459784042447 441.18060170912304 353.6460434248712
389.4298189175344 360.89229978360135 424.98331299360416 412.97351382119655 346.07452799790286 288.6490581403253
305.84129151220253 308.5518921450034 318.0109808670156 358.5314895243439 305.4326265665743 335.72615860829615
429.51811162511575 396.77462949413245 442.14967818094846 378.42532461706196 354.88150165102525 360.6038898130169
268.29233720017777 301.5409582913671 331.90016365469654 272.3126800888454 295.0194131349589 315.22931347669805
323.1421696305897 248.1787801045406 222.794442762608 327.99032088564434 331.1726361113254 345.8503848092509
279.168423307229 337.2475250535614 273.66416177149614 244.59959166400427 318.7207638346385 318.35459151807504
267.9789043582468 376.2166951186691 420.81363073045117 361.1768633440179 342.4811408638755 375.44760635149987
322.47371480622235 377.1675369246131 273.72562881509083 276.66066261947947 383.8091617296264 317.91168072452876
353.9779283834372 382.13428684777426 327.1998096045401 337.23003006422624 316.29580177119084 322.94205527952727
276.8819408464452 251.06218067146511 364.7756919886629 312.1203807179464 343.9386521879638 322.04670923715844
290.34560169814705 307.05414545480585 339.907520380514 324.1171453646516 438.9662918490728 341.3748953325998
