# col0 col1 col2 col3 col4
355.634909257231 362.7397679957854 410.44514465292974 448.98570070370897 340.3176166563986
327.91503372346426 334.56930349969286 340.3135296087476 335.70727753101113 370.10409361547164
329.22456066126904 296.42239241794016 302.8530893821419 365.20138361458913 306.446584746741
342.26209242902655 277.11418818385687 275.9667877181107 329.2480655822883 317.6067226784067
297.2609808840419 282.061127155622 330.04193851568215 297.8328220262674 355.3543905142996
346.15724113500346 349.19803031999123 308.8183769811011 321.78538393889045 395.1041064983143
320.6596630017233 272.76460632988 286.5711402945963 336.68551047990957 317.5080659140262
268.9697182016623 328.6957640149531 308.44037345433924 291.7094110509244 324.6773347526929
262.91247793100365 268.79787909893423 272.60780600757533 262.52243074940395 309.05893374650657
257.65991347875337 326.32061337740356 323.055557387611 295.0939744549664 319.0858506652309
441.6666718332671 415.672262531199 404.99387046439654 423.7472640444024 419.352548796286
307.9013801049999 411.1466896784768 420.21288083642224 352.48503737739156 350.11427593575905
283.76495681759917 297.6495788274443 310.3811111866957 321.9941330311246 325.80228916241214
289.03577567417074 288.9611770151997 304.24012336800473 314.75669889256494 320.6465251232233
309.15132655748124 315.49425244966005 289.55717654350275 280.1890704133511 306.388799974553
293.88769371049966 307.15407780430957 299.97059149618224 298.56736235083645 361.73483138032077
275.3316280871809 277.9028997905988 300.1325744340667 267.6847725524996 334.2570772633934
359.23671866112323 319.57616980651886 299.75571561113776 313.15063860258766 345.4457329071263
334.64563477162 354.8039654763496 324.2397543657117 343.05825645725133 337.41400822422014
342.307368296619 384.8117764140279 375.16402037985716 349.05468548273296 365.09907093767845
327.2292203899436 314.5644723424948 350.7455509475514 302.96521017047843 327.77143486727897
386.7848129397903 315.3406132527655 340.35132126046955 375.84859818520323 362.77034661245136
308.38587240173894 311.2203265916748 305.54885115581 323.40114914185153 321.2017933306186
302.51656035247765 333.9542203952694 307.1730429439737 292.4163735383878 375.33298186130764
273.6886987395264 286.12205638257217 306.39880534611063 323.32380134441286 381.4629480228338
318.9978649696218 349.356400264484 410.85291575578253 363.152472836737 310.6397209163437
397.1037897819216 324.45819436540535 318.27123409375525 315.58924941256964 337.55244175505027
368.2389817465499 333.85927776027347 400.0695964158688 391.71369574452825 308.4199990004648
402.3871295748 380.4432940103116 357.5693321127544 368.600574282659 350.47383326545696
306.9767623439069 289.99899439781007 257.55066136085867 260.34347999508526 360.91211107165685
317.5816465907797 297.51773063480505 353.55932356677715 326.23068139742156 316.8057479339163
295.1908506759512 348.5736382264873 349.1532338026094 320.1091244815824 355.4833655208132
351.37307101521566 338.3775610275431 347.5290860869333 322.7928423613397 299.92709273927915
325.1140569225763 290.1334537379462 261.71925518164346 279.48345689969983 375.3329915917447
398.9781912654413 471.1951524173928 432.0610896164807 452.13081077402956 341.09313644628486
327.6647169932151 332.64383363536183 325.0527127019709 285.0913002639286 340.70222256763094
286.07511734069385 272.70515711420865 380.4095413279607 349.12913650761953 351.7424454081285
339.10684306048245 311.04311161937443 320.1736611312974 333.75057687317184 348.85087298371513
308.88132948604715 331.9892754879623 303.3307059994417 310.3293636445585 327.31243382594636
328.22750292962274 333.16414228019687 269.02215792966143 299.5803146275193 355.6777003703714
347.40123907474987 303.67652063831986 307.04523749891115 343.05703210977504 327.5621248432154
313.00133199175104 332.4002474277344 318.1887901963375 317.3474969263518 365.3846138359373
293.0082347381186 277.56074173511905 354.5990353422121 312.56054854117224 308.60316665321153
315.5619036712832 320.7920853088513 359.9586477604278 322.0168777256527 297.51229448173194
