# mach l_inj l_dis alpha cost cost_sigma sigma sigma_err1 sigma_err2
0.6281167302705253 1.0 0.001 -3.6666666666666665 90.76440667276928 90.33925822395227 462.0242853449349 73.5261994703613 66.40308018831045
0.05487500000000001 1.0 0.001 -3.6666666666666665 2373.0976888149507 204.85021062355668 40.36444411755074 26.47359493315791 39.598398254185874
0.064625 1.0 0.001 -3.6666666666666665 1893.4074893855643 180.69132809886167 47.536258789917376 27.02220827119292 39.8275194285705
0.074375 1.0 0.001 -3.6666666666666665 1502.8785799651205 158.07441208336368 54.70807346228403 27.64665149009526 40.09238129020829
0.084125 1.0 0.001 -3.6666666666666665 1192.0545994424208 137.18626353224514 61.87988813465068 28.341912867237852 40.392280764472325
0.093875 1.0 0.001 -3.6666666666666665 947.5629807438648 118.12943021083042 69.05170280701732 29.102917361145686 40.72644383373918
0.103625 1.0 0.001 -3.6666666666666665 756.120912392619 100.93463829509508 76.22351747938396 29.924649713597386 41.09403464591543
0.113375 1.0 0.001 -3.6666666666666665 606.2002587897215 85.57523224387862 83.39533215175061 30.80225007413565 41.49416481587401
0.12312500000000001 1.0 0.001 -3.6666666666666665 488.4423883031367 71.98163709372953 90.56714682411726 31.731083283965138 41.925902711860246
0.132875 1.0 0.001 -3.6666666666666665 395.51553570763633 60.054531890531166 97.7389614964839 32.70678478105927 42.38828254119359
0.142625 1.0 0.001 -3.6666666666666665 321.78186894913347 49.676033970744584 104.91077616885052 33.725286991386525 42.88031307639881
0.152375 1.0 0.001 -3.6666666666666665 262.9431143859956 40.718661418717716 112.0825908412172 34.78283027852244 43.400985892236754
0.162125 1.0 0.001 -3.6666666666666665 215.72981659379823 33.052150510056435 119.25440551358382 35.87596227718311 43.94928301413486
0.171875 1.0 0.001 -3.6666666666666665 177.65089173571252 26.5483782531913 126.42622018595046 37.00152894191658 44.52418390768264
0.181625 1.0 0.001 -3.6666666666666665 146.8002755432482 21.08471295078858 133.59803485831716 38.15666005249113 45.12467176594201
0.191375 1.0 0.001 -3.6666666666666665 121.71102355576375 16.54612334435036 140.76984953068376 39.33875133096512 45.749739075464625
0.201125 1.0 0.001 -3.6666666666666665 101.24898148558327 12.828843473531295 147.9416642030504 33.39471334183507 46.39839246258883
0.210875 1.0 0.001 -3.6666666666666665 84.54878979471282 9.857649275217913 155.11347887541706 34.115783980351 47.06965683858317
0.220625 1.0 0.001 -3.6666666666666665 70.91707334971845 7.549003563991883 162.2852935477837 34.85499355093117 47.76257887553573
0.230375 1.0 0.001 -3.6666666666666665 59.80031484405523 5.823211639244096 169.45710822015033 35.61121249982617 43.69835457858775
0.240125 1.0 0.001 -3.6666666666666665 50.76335131298072 4.615723020338467 176.62892289251698 36.38338023618672 44.080953772248144
0.24987499999999999 1.0 0.001 -3.6666666666666665 43.452888602405494 3.8650523267135974 183.80073756488363 37.170502828788194 44.47591132482537
0.259625 1.0 0.001 -3.6666666666666665 37.58094928158694 3.5144773631797896 190.97255223725026 37.971650281622 44.882900986722504
0.26937500000000003 1.0 0.001 -3.6666666666666665 32.91265389449075 3.5135437816016735 198.14436690961696 38.78595352837803 45.30159846960919
0.27912499999999996 1.0 0.001 -3.6666666666666665 29.265567694323163 3.827792598059827 205.31618158198356 39.612601259347244 45.731682200931694
0.288875 1.0 0.001 -3.6666666666666665 26.521237284575314 4.458197211060149 212.4879962543502 40.45083667106802 46.17283400507145
0.29862500000000003 1.0 0.001 -3.6666666666666665 24.567512188474087 5.389534827188033 219.6598109267169 41.299954209147096 46.624739712949676
0.30837499999999995 1.0 0.001 -3.6666666666666665 23.29445623778144 6.590959258726252 226.83162559908345 42.15929635794121 47.087089702468184
0.318125 1.0 0.001 -3.6666666666666665 22.60435012791954 8.029617031622916 234.00344027145013 43.02825051691768 47.559579372654454
0.327875 1.0 0.001 -3.6666666666666665 22.414093300542373 9.675867316421463 241.17525494381687 43.906245992197775 48.041909554751335
0.33762499999999995 1.0 0.001 -3.6666666666666665 22.652721915996516 11.503010437696446 248.3470696161834 44.79275112268703 48.53378686376687
0.347375 1.0 0.001 -3.6666666666666665 23.26568784194402 13.493310722845145 255.51888428855008 45.687270552982504 49.034923994187515
0.357125 1.0 0.001 -3.6666666666666665 24.214063096700407 15.638584234925995 262.69069896091673 46.58934265961162 49.545039963668394
