# k bin_0 bin_1
0.025 6.392627211615869e-13 1.0402286047437478e-07
0.07500000000000001 4.2844493031667685e-11 6.8772028303530606e-06
0.125 2.735398581884669e-10 4.331295400482097e-05
0.17500000000000002 8.694875566745963e-10 0.0001358169181368862
0.225 1.9659472475279668e-09 0.00030294837510884734
0.275 3.629971161045611e-09 0.0005518476069088579
0.32500000000000007 5.859174807480641e-09 0.0008787890190496475
0.375 8.593274691477622e-09 0.001271604320792747
0.42500000000000004 1.173059271928454e-08 0.0017126607636709307
0.475 1.5145000354007912e-08 0.0021816834085597184
0.525 1.8700907248766324e-08 0.0026580865909934743
0.5750000000000001 2.2265243804009933e-08 0.0031227043529371695
0.625 2.571619792088956e-08 0.003558935328267953
0.675 2.8948921980825422e-08 0.003953380471933038
0.7250000000000001 3.187865174850477e-08 0.004296076428850208
0.775 3.4441760630396986e-08 0.004580429362480273
0.8250000000000001 3.6595268970892984e-08 0.004802944145219942
0.875 3.831527765053929e-08 0.00496282851905341
0.925 3.959472325157515e-08 0.005061535124386238
0.9750000000000001 4.0440774082594426e-08 0.005102288406201108
1.025 4.087211157578345e-08 0.0050896294698909075
1.0750000000000002 4.0916274881021e-08 0.005029000414094112
1.125 4.0607190007213976e-08 0.00492638054430061
1.1750000000000003 3.9982959020784393e-08 0.004787979973226768
1.225 3.908394901624764e-08 0.004619991139203694
1.275 3.795119370328853e-08 0.004428395385386878
1.3250000000000002 3.662510118100802e-08 0.004218819612697271
1.375 3.5144448419981267e-08 0.003996436852110183
1.4250000000000003 3.354563486741567e-08 0.0037659041433566348
1.475 3.186216328498389e-08 0.0035313311479048147
1.525 3.012431444835636e-08 0.0032962732972165757
1.5750000000000002 2.8358982867011765e-08 0.003063743853574471
1.625 2.6589642577570376e-08 0.0028362399434966917
1.6750000000000003 2.4836414804611004e-08 0.00261577834293095
1.725 2.311621248761e-08 0.0024039375005641276
1.775 2.1442940047504195e-08 0.002201902949007592
1.8250000000000002 1.9827730110447813e-08 0.002010513854382901
1.875 1.8279202077635032e-08 0.0018303089834240441
1.9250000000000003 1.6803730344086733e-08 0.0016615708208414168
1.975 1.5405712573839487e-08 0.0015043669501715823
2.0250000000000004 1.4087830717579974e-08 0.0013585881234436208
2.075 1.2851299408861508e-08 0.0012239826952444156
2.125 1.1696098013567288e-08 0.0011001872925187311
2.175 1.0621183956129328e-08 0.0009867537402593945
2.225 9.624686034012477e-09 0.0008831723724690502
2.2750000000000004 8.704077290465324e-09 0.0007888919342512946
2.325 7.856327674447285e-09 0.0007033363308039922
2.375 7.078037206749208e-09 0.0006259185079005286
2.4250000000000003 6.365550720237217e-09 0.0005560517608713242
2.475 5.7150554745849995e-09 0.0004931587691345296
2.5250000000000004 5.122663085203412e-09 0.00043667864429874204
2.575 4.584477271252174e-09 0.0003860722644940598
2.625 4.096648935768153e-09 0.0003408261480684491
2.6750000000000003 3.655420056172506e-09 0.00030045509783922433
2.725 3.257157797769832e-09 0.00026450382404538366
2.7750000000000004 2.898380175681113e-09 0.00023254773100718693
2.825 2.5757744901156734e-09 0.00020419302999471553
2.875 2.2862096519578435e-09 0.00017907631944690878
